Accession			Taxon name			ITS1 localization			Sequence description
JF951750			Aspergillus flavus			HMM			Aspergillus flavus isolate F4 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
JN093260			Aspergillus flavus			ENA			Aspergillus flavus NRRL:32353 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
JN194185			Aspergillus flavus			ENA			Aspergillus flavus strain TFR1 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
JN561267			Aspergillus flavus			HMM			Aspergillus flavus isolate F5-04 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
JN561272			Aspergillus flavus			HMM			Aspergillus flavus isolate F6-04 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
JN561278			Aspergillus flavus			HMM			Aspergillus flavus isolate F7-06 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
JN561283			Aspergillus flavus			HMM			Aspergillus flavus isolate F8-05 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
JN561288			Aspergillus flavus			HMM			Aspergillus flavus isolate F9-05 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
JN561292			Aspergillus flavus			HMM			Aspergillus flavus isolate F10-04 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
JN676112			Aspergillus flavus			HMM			Aspergillus flavus isolate B19-1 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.i
JN831610			Aspergillus flavus			ENA			Aspergillus flavus strain QD-2 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
JN942867			Aspergillus flavus			ENA			Aspergillus flavus strain DAOM 225949 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.i
JQ316528			Aspergillus flavus			HMM			Aspergillus flavus strain A-3196 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
JQ316529			Aspergillus flavus			HMM			Aspergillus flavus strain A-3271 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
JQ316530			Aspergillus flavus			HMM			Aspergillus flavus strain A-3316 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
JQ436557			Aspergillus flavus			HMM			Aspergillus flavus strain S2 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
JQ675293			Aspergillus flavus			ENA			Aspergillus flavus strain TFR-10 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
JQ675294			Aspergillus flavus			ENA			Aspergillus flavus strain TFR-11 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
JQ675295			Aspergillus flavus			ENA			Aspergillus flavus strain TFR-12 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
JQ675308			Aspergillus flavus			ENA			Aspergillus flavus strain TFR-7 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
JQ776536			Aspergillus flavus			HMM			Aspergillus flavus strain SGE34 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
JQ781721			Aspergillus flavus			HMM			Aspergillus flavus isolate A10C 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.i
JQ844451			Aspergillus flavus			ENA			Aspergillus flavus strain P27C3 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
JQ899451			Aspergillus flavus			HMM			Aspergillus flavus strain SSM8 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.i
JQ975004			Aspergillus flavus			HMM			Aspergillus flavus isolate RF1 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
JX028197			Aspergillus flavus			ENA			Aspergillus flavus internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
JX157882			Aspergillus flavus			HMM			Aspergillus flavus 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.i
JX205164			Aspergillus flavus			HMM			Aspergillus flavus isolate JH01 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
JX232269			Aspergillus flavus			HMM			Aspergillus flavus strain SGE22 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
JX292092			Aspergillus flavus			ENA			Aspergillus flavus strain NRRL 62477 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
JX292092			Aspergillus flavus			HMM			Aspergillus flavus strain NRRL 62477 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
JX456197			Aspergillus flavus			ENA			Aspergillus flavus strain E36 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
JX456197			Aspergillus flavus			HMM			Aspergillus flavus strain E36 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
JX456198			Aspergillus flavus			ENA			Aspergillus flavus strain E13 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
JX456198			Aspergillus flavus			HMM			Aspergillus flavus strain E13 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
JX456199			Aspergillus flavus			ENA			Aspergillus flavus strain E81 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
JX456199			Aspergillus flavus			HMM			Aspergillus flavus strain E81 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
JX456200			Aspergillus flavus			ENA			Aspergillus flavus strain E71 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
JX456200			Aspergillus flavus			HMM			Aspergillus flavus strain E71 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
JX456201			Aspergillus flavus			ENA			Aspergillus flavus strain E28 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
JX456201			Aspergillus flavus			HMM			Aspergillus flavus strain E28 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
JX456202			Aspergillus flavus			ENA			Aspergillus flavus strain E56 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
JX456202			Aspergillus flavus			HMM			Aspergillus flavus strain E56 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
JX456203			Aspergillus flavus			ENA			Aspergillus flavus strain E54 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
JX456203			Aspergillus flavus			HMM			Aspergillus flavus strain E54 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
JX456204			Aspergillus flavus			ENA			Aspergillus flavus strain E51 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
JX456204			Aspergillus flavus			HMM			Aspergillus flavus strain E51 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
JX456205			Aspergillus flavus			ENA			Aspergillus flavus strain E75 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
JX456205			Aspergillus flavus			HMM			Aspergillus flavus strain E75 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
JX456206			Aspergillus flavus			ENA			Aspergillus flavus strain A12 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
JX456206			Aspergillus flavus			HMM			Aspergillus flavus strain A12 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
JX456207			Aspergillus flavus			ENA			Aspergillus flavus strain AF4 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
JX456207			Aspergillus flavus			HMM			Aspergillus flavus strain AF4 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
JX456208			Aspergillus flavus			ENA			Aspergillus flavus strain AF37 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
JX456208			Aspergillus flavus			HMM			Aspergillus flavus strain AF37 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
JX456209			Aspergillus flavus			ENA			Aspergillus flavus strain AF22 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
JX456209			Aspergillus flavus			HMM			Aspergillus flavus strain AF22 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
JX501303			Aspergillus flavus			HMM			Aspergillus flavus strain AF01 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.i
JX501354			Aspergillus flavus			ENA			Aspergillus flavus isolate A1S2_D20 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
JX501354			Aspergillus flavus			HMM			Aspergillus flavus isolate A1S2_D20 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
JX501356			Aspergillus flavus			ENA			Aspergillus flavus isolate A1S3_D84 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
JX501356			Aspergillus flavus			HMM			Aspergillus flavus isolate A1S3_D84 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
JX501360			Aspergillus flavus			ENA			Aspergillus flavus isolate A1S4_D2 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
JX501360			Aspergillus flavus			HMM			Aspergillus flavus isolate A1S4_D2 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
JX501363			Aspergillus flavus			ENA			Aspergillus flavus isolate A1S5_D5 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
JX501363			Aspergillus flavus			HMM			Aspergillus flavus isolate A1S5_D5 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
JX501366			Aspergillus flavus			ENA			Aspergillus flavus isolate A1S6_3 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
JX501366			Aspergillus flavus			HMM			Aspergillus flavus isolate A1S6_3 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
JX501367			Aspergillus flavus			ENA			Aspergillus flavus isolate A1S6_8 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
JX501367			Aspergillus flavus			HMM			Aspergillus flavus isolate A1S6_8 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
JX501369			Aspergillus flavus			ENA			Aspergillus flavus isolate A2S1_17 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
JX501369			Aspergillus flavus			HMM			Aspergillus flavus isolate A2S1_17 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
JX501379			Aspergillus flavus			ENA			Aspergillus flavus isolate A2S2_D29 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
JX501379			Aspergillus flavus			HMM			Aspergillus flavus isolate A2S2_D29 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
JX501383			Aspergillus flavus			ENA			Aspergillus flavus isolate A2S4_12 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
JX501383			Aspergillus flavus			HMM			Aspergillus flavus isolate A2S4_12 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
JX501385			Aspergillus flavus			ENA			Aspergillus flavus isolate A2S4_D25 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
JX501385			Aspergillus flavus			HMM			Aspergillus flavus isolate A2S4_D25 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
JX501391			Aspergillus flavus			ENA			Aspergillus flavus isolate A2S5_D1 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
JX501391			Aspergillus flavus			HMM			Aspergillus flavus isolate A2S5_D1 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
JX501395			Aspergillus flavus			ENA			Aspergillus flavus isolate A3S1_D101 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
JX501395			Aspergillus flavus			HMM			Aspergillus flavus isolate A3S1_D101 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
JX501399			Aspergillus flavus			ENA			Aspergillus flavus isolate A3S3_D3 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
JX501399			Aspergillus flavus			HMM			Aspergillus flavus isolate A3S3_D3 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
JX501400			Aspergillus flavus			ENA			Aspergillus flavus isolate A3S4_88 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
JX501400			Aspergillus flavus			HMM			Aspergillus flavus isolate A3S4_88 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
JX501401			Aspergillus flavus			ENA			Aspergillus flavus isolate A3S4_D2 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
JX501401			Aspergillus flavus			HMM			Aspergillus flavus isolate A3S4_D2 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
JX501404			Aspergillus flavus			ENA			Aspergillus flavus isolate A3S5_58 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
JX501404			Aspergillus flavus			HMM			Aspergillus flavus isolate A3S5_58 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
JX501406			Aspergillus flavus			ENA			Aspergillus flavus isolate A3S6_48 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
JX501406			Aspergillus flavus			HMM			Aspergillus flavus isolate A3S6_48 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
JX501409			Aspergillus flavus			ENA			Aspergillus flavus isolate A4S3_12 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
JX501409			Aspergillus flavus			HMM			Aspergillus flavus isolate A4S3_12 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
JX501410			Aspergillus flavus			ENA			Aspergillus flavus isolate A4S3_13 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
JX501410			Aspergillus flavus			HMM			Aspergillus flavus isolate A4S3_13 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
JX501414			Aspergillus flavus			ENA			Aspergillus flavus isolate A4S6_40 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
JX501414			Aspergillus flavus			HMM			Aspergillus flavus isolate A4S6_40 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
JX501415			Aspergillus flavus			ENA			Aspergillus flavus isolate A2S1_D104 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
JX501415			Aspergillus flavus			HMM			Aspergillus flavus isolate A2S1_D104 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
JX502763			Aspergillus flavus			HMM			Aspergillus flavus strain TN-432 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
JX535495			Aspergillus flavus			HMM			Aspergillus flavus strain ATCC 200026 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
JX624335			Aspergillus flavus			HMM			Aspergillus flavus isolate TN-129 18S ribosomal RNA, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA, complete sequence; and internal transcribed spacer 2, partial sequence.i
JX624336			Aspergillus flavus			HMM			Aspergillus flavus isolate TN-442 18S ribosomal RNA, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA, complete sequence; and internal transcribed spacer 2, partial sequence.i
JX624337			Aspergillus flavus			HMM			Aspergillus flavus isolate TN-424 18S ribosomal RNA, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA, complete sequence; and internal transcribed spacer 2, partial sequence.i
JX624338			Aspergillus flavus			HMM			Aspergillus flavus isolate TN-331 18S ribosomal RNA, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA, complete sequence; and internal transcribed spacer 2, partial sequence.i
JX624339			Aspergillus flavus			HMM			Aspergillus flavus isolate TN-304 18S ribosomal RNA, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA, complete sequence; and internal transcribed spacer 2, partial sequence.i
JX624340			Aspergillus flavus			HMM			Aspergillus flavus isolate TN-449 18S ribosomal RNA, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA, complete sequence; and internal transcribed spacer 2, partial sequence.i
JX624341			Aspergillus flavus			HMM			Aspergillus flavus isolate TN-375 18S ribosomal RNA, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA, complete sequence; and internal transcribed spacer 2, partial sequence.i
JX993355			Aspergillus flavus			HMM			Aspergillus flavus strain A2b 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KC153995			Aspergillus flavus			ENA			Aspergillus flavus strain AFc5 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KC153995			Aspergillus flavus			HMM			Aspergillus flavus strain AFc5 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
KC153996			Aspergillus flavus			ENA			Aspergillus flavus strain AFc6 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.i
